filename,class,label,artifact_type,sha256,source_csv,source_split,source_label,source_image,source_mask
candle/Data/Images/Normal/0000.JPG,candle,normal,image,223a16caac5a91232f7c52552dea5c7c7f096ef882e626c5908b4539a43dc131,1cls.csv,train,normal,candle/Data/Images/Normal/0000.JPG,
candle/Data/Images/Normal/0003.JPG,candle,normal,image,a554c2488d79de720fb0f809aaf03c24a448041ecf0b4f8a402ba5af3aa20671,1cls.csv,train,normal,candle/Data/Images/Normal/0003.JPG,
candle/Data/Images/Normal/0006.JPG,candle,normal,image,35b5dad76c75c44ae23c00f8357754cd0cae2fce26083d006224edd6ab9e4daf,1cls.csv,train,normal,candle/Data/Images/Normal/0006.JPG,
candle/Data/Images/Normal/0010.JPG,candle,normal,image,aa0a9d8afda2ccdb43a42cb09436ed94a09282a187859089174cc9bdef92c6ba,1cls.csv,train,normal,candle/Data/Images/Normal/0010.JPG,
candle/Data/Images/Normal/0015.JPG,candle,normal,image,d197b3daaafe6a6b7f6cbf97c88fc5fd25f2b83e9385df593f44fe1d639b32dd,1cls.csv,train,normal,candle/Data/Images/Normal/0015.JPG,
candle/Data/Images/Normal/0016.JPG,candle,normal,image,96e15a3889e079d6a63a30930eb3da385f93a403bd981a8ed9b676eadfc49a75,1cls.csv,test,normal,candle/Data/Images/Normal/0016.JPG,
candle/Data/Images/Normal/0020.JPG,candle,normal,image,40f367e5850fc50fc28acbbd0a4be456bd5ac09a98c80316f2abbe8bfd569078,1cls.csv,train,normal,candle/Data/Images/Normal/0020.JPG,
candle/Data/Images/Normal/0027.JPG,candle,normal,image,67552f1f17c5cd4d5a2003cdae310b4bb5f620da0bcef96782d3359701873d79,1cls.csv,test,normal,candle/Data/Images/Normal/0027.JPG,
candle/Data/Images/Normal/0032.JPG,candle,normal,image,42f40722887e1b182ce08c27ead25583834e9244bf32ba44b5942492ef79c99d,1cls.csv,train,normal,candle/Data/Images/Normal/0032.JPG,
candle/Data/Images/Normal/0039.JPG,candle,normal,image,051b781fd8b1e156c871e5c2dd329746f3890550357ad38360ed8f3a5aee808a,1cls.csv,train,normal,candle/Data/Images/Normal/0039.JPG,
candle/Data/Images/Normal/0042.JPG,candle,normal,image,c57cc317f04bd83c2899287bf48c43f29c6c13a3cf3317780df2505ffff4b32d,1cls.csv,train,normal,candle/Data/Images/Normal/0042.JPG,
candle/Data/Images/Normal/0043.JPG,candle,normal,image,a6d60a66b29a2fb1ee940ada6861bd36fb921c01f434a144b4744c7f3d852005,1cls.csv,train,normal,candle/Data/Images/Normal/0043.JPG,
candle/Data/Images/Normal/0045.JPG,candle,normal,image,1fafc1e29c4bc78d1fa3534f159a3151c28c838f513eb4591b21d7a5fa5f2f0f,1cls.csv,train,normal,candle/Data/Images/Normal/0045.JPG,
candle/Data/Images/Normal/0050.JPG,candle,normal,image,55b935f5bf196bf6ccb35fda7373759468b9d8ca5a173dcd0339fa08b88d98c4,1cls.csv,train,normal,candle/Data/Images/Normal/0050.JPG,
candle/Data/Images/Normal/0051.JPG,candle,normal,image,dbe0b5e48f55b3d2e852e28e7aed975c25a3a324fb38c6f7c59ef21b081ee011,1cls.csv,train,normal,candle/Data/Images/Normal/0051.JPG,
candle/Data/Images/Normal/0054.JPG,candle,normal,image,32633899db44812ea2a639ed3060ab5a7e7eefdb9c8ebfa36c0367952e3948bd,1cls.csv,train,normal,candle/Data/Images/Normal/0054.JPG,
